,user_holding,sector,Covid,Date
AAL,9937.0,Transportation,pre,2019-08-13
AAPL,217546.0,Technology,pre,2019-08-13
ABBV,19788.0,Health Care,pre,2019-08-13
ADBE,12283.0,Technology,pre,2019-08-13
AGFS,8044.0,Finance,pre,2019-08-13
AGNC,10501.0,Consumer Services,pre,2019-08-13
AKS,24474.0,Basic Industries,pre,2019-08-13
AMAT,14378.0,Technology,pre,2019-08-13
AMC,11191.0,Consumer Services,pre,2019-08-13
AMD,174003.0,Technology,pre,2019-08-13
AMRN,12523.0,Health Care,pre,2019-08-13
AMZN,116183.0,Consumer Services,pre,2019-08-13
APLE,12703.0,Consumer Services,pre,2019-08-13
APPS,7812.0,Miscellaneous,pre,2019-08-13
ARQL,7763.0,Health Care,pre,2019-08-13
ASM,8773.0,Basic Industries,pre,2019-08-13
ATVI,52715.0,Technology,pre,2019-08-13
AUPH,8255.0,Health Care,pre,2019-08-13
AUY,38472.0,Basic Industries,pre,2019-08-13
BA,37292.0,Capital Goods,pre,2019-08-13
BABA,129634.0,Miscellaneous,pre,2019-08-13
BAC,105774.0,Finance,pre,2019-08-13
BB,11630.0,Technology,pre,2019-08-13
BIDU,17255.0,Technology,pre,2019-08-13
BILI,25484.0,Technology,pre,2019-08-13
BIOC,9994.0,Health Care,pre,2019-08-13
BLNK,12168.0,Consumer Durables,pre,2019-08-13
BOTZ,19815.0,Technology,pre,2019-08-13
BP,9991.0,Energy,pre,2019-08-13
BTG,8554.0,Basic Industries,pre,2019-08-13
BZUN,8831.0,Consumer Services,pre,2019-08-13
CARA,24013.0,Health Care,pre,2019-08-13
CAT,8767.0,Capital Goods,pre,2019-08-13
CLDR,16374.0,Technology,pre,2019-08-13
CMCSA,11797.0,Consumer Services,pre,2019-08-13
COST,22051.0,Consumer Services,pre,2019-08-13
CPRX,18624.0,Health Care,pre,2019-08-13
CRBP,46167.0,Health Care,pre,2019-08-13
CRM,35504.0,Technology,pre,2019-08-13
CRON,183448.0,Consumer Durables,pre,2019-08-13
CRSP,20531.0,Health Care,pre,2019-08-13
CSCO,36057.0,Technology,pre,2019-08-13
CTL,11994.0,Technology,pre,2019-08-13
CVS,23341.0,Health Care,pre,2019-08-13
CY,9697.0,Technology,pre,2019-08-13
DAL,14332.0,Transportation,pre,2019-08-13
DBX,28301.0,Technology,pre,2019-08-13
DIS,160796.0,Consumer Services,pre,2019-08-13
DNR,27974.0,Energy,pre,2019-08-13
DOCU,9403.0,Technology,pre,2019-08-13
EA,15203.0,Technology,pre,2019-08-13
EDIT,10062.0,Health Care,pre,2019-08-13
ENPH,29165.0,Technology,pre,2019-08-13
ET,10812.0,Public Utilities,pre,2019-08-13
ETSY,10506.0,Miscellaneous,pre,2019-08-13
F,275971.0,Capital Goods,pre,2019-08-13
FB,138136.0,Technology,pre,2019-08-13
