,spearman,ccf
AAL,0.7363601470579224,0.0
AAN,0.1677032604514331,0.19199423793898573
AAOI,0.1915370383545224,0.25738328281518896
AAON,-0.0029268136621891957,-0.019672262024788802
AAP,0.11129395017310754,0.059659203553012574
AAPL,0.4275081717949949,0.5607351644823864
AAT,0.0008368319247711198,-0.008605749256318278
AAU,0.08568257732080717,0.11619855266010821
AAWW,0.17615711101257547,0.1939376576430529
AAXJ,-0.04379632841336927,-0.04941140930644272
AAXN,0.3160253146402148,0.25686434875442593
AB,0.45002134134774496,0.32848019973427645
ABB,0.1360401907732175,0.1741404797034092
ABBV,0.4539209068661309,0.30515672317689163
ABC,0.15052745591513716,0.15065067332103674
ABCD,0.0339249945258481,0.04258723072232378
ABEO,0.11953583903338617,0.11306378628617239
ABG,0.11238106177259032,0.07880847550512286
ABM,0.18627169070487445,0.26253486388779806
ABMD,-0.008995582555023094,0.020918938655140645
ABR,0.22271332633278446,0.245750231562338
ABT,0.43502966644557156,0.40672444778272054
ABUS,0.26266278364342677,0.6023880330739978
ACAD,0.15212695752483013,0.14941511934126603
ACC,0.4201997147534809,0.3050400040130335
ACER,0.18444884846468787,0.20373871792998363
ACH,0.3760775258294358,0.22980536105320667
ACHC,0.03814553138993246,0.035707540487516225
ACIA,0.14863325227421573,0.25210006491320025
ACIU,0.18979506324102677,0.38288083361177505
ACIW,0.005127633199215847,-0.005386860202211863
ACLS,-0.0497652193828922,-0.057019226285376284
ACM,0.23370590174505546,0.018360023196808403
ACMR,0.22000744141917578,0.1906086268160512
ACN,0.1700808262898608,0.18972406212204349
ACOR,0.049895507925391054,-0.00055530409244712
ACP,0.13915113535032758,0.19068105498000099
ACRE,0.14612607102359132,0.1670929543049532
ACRS,-0.04867638988941249,-0.0528535790202829
ACRX,-0.12574171600118997,-0.13514396246177687
ACST,0.18787415581138414,0.017462089524631307
ACT,-0.13008074890087717,-0.07068130031952903
ACTG,0.04956420869866243,0.03453337080746106
ACV,0.1551639265220918,0.13709133931701148
ACWI,0.12422459531232932,0.07960290405053816
ADAP,0.06195507086284592,0.3303113262378218
ADBE,0.2133171910644211,0.10765972370959519
ADC,0.1145344552549107,0.07846040773976926
ADES,0.09121039306368339,0.14323547629788103
ADI,0.12552730715097316,0.11361380668318177
ADM,0.15620569801697343,0.10981139809637555
ADMA,0.1994565434214818,0.5333454045553477
ADMP,0.12848242036900742,0.022193932779014373
ADMS,0.058160110253906175,0.04282727691605223
ADNT,-0.07898703953103905,-0.0799960649652055
ADP,0.27793011144223334,0.23256333403657764
ADRO,0.08485724996957678,0.08226565953335614
ADS,0.13022567718716221,0.2949675125908576
ADSK,0.10924737418839395,0.09084482093510145
ADT,0.2118024383299817,0.3896840431178262
ADTN,0.05290572350115303,0.012836087358078927
ADVM,0.16402411546075657,0.19013423456495387
ADX,0.19398150775286183,0.23797328045495195
AE,0.11094717438320237,0.16480721449529662
AEE,0.037126745709096014,-0.012586351910964287
AEIS,-0.01469724931563257,-0.015748663874039042
AEM,0.22071725151700747,0.2290005931000127
AEO,0.14255008291984858,0.019414059824085877
AEP,0.1933490305807391,0.3087910711007723
AER,0.29673606184789425,0.44498766110665317
AES,0.22890509232899808,0.3151970953207956
AEY,0.09735429456264684,0.18704804806965208
AEZS,0.14279287382163364,0.43597224689810565
AFB,0.1076549862802561,0.09543009412790661
AFG,0.11733500053794964,0.15364052745820997
